sha,html_url,repo,committer_login
af1ffe210017104c16692e709ad6f47d2385a828,https://github.com/thoxly/fin-u-ch/commit/af1ffe210017104c16692e709ad6f47d2385a828,thoxly/fin-u-ch,thoxly
d4f6f2d1c7a7f717f4e7ffed3b5802c46cc3232d,https://github.com/thoxly/fin-u-ch/commit/d4f6f2d1c7a7f717f4e7ffed3b5802c46cc3232d,thoxly/fin-u-ch,thoxly
ca898a59e393128effd13e7124ea86b6d84ce087,https://github.com/tnorlund/Portfolio/commit/ca898a59e393128effd13e7124ea86b6d84ce087,tnorlund/Portfolio,tnorlund
e657c392022c1b4decb84deefe6e0b120f857338,https://github.com/universal-tool-calling-protocol/utcp-examples/commit/e657c392022c1b4decb84deefe6e0b120f857338,universal-tool-calling-protocol/utcp-examples,web-flow
b9f994f27f818cd86f575f4bc5f71bb81a251c68,https://github.com/Yoni-Raich/Article_Chat_Assignmentm/commit/b9f994f27f818cd86f575f4bc5f71bb81a251c68,Yoni-Raich/Article_Chat_Assignmentm,Yoni-Raich
6a388889593299adbe5e845fb7db5dc718548efa,https://github.com/ZeroBranding/GCZ-MAIN/commit/6a388889593299adbe5e845fb7db5dc718548efa,ZeroBranding/GCZ-MAIN,ZeroBranding
853b065dcad65c34b7fb844e953e902eb2b10170,https://github.com/zhound420/bytebot-hawkeye-holo/commit/853b065dcad65c34b7fb844e953e902eb2b10170,zhound420/bytebot-hawkeye-holo,zhound420
e356db4a07d03bdc47ce3adbadd1ee98b9ec609d,https://github.com/vishnu2kmohan/mcp-server-langgraph/commit/e356db4a07d03bdc47ce3adbadd1ee98b9ec609d,vishnu2kmohan/mcp-server-langgraph,vishnu2kmohan
c373419d444a224aaf561b032ba5446e00138286,https://github.com/JaymieX/JAA/commit/c373419d444a224aaf561b032ba5446e00138286,JaymieX/JAA,JaymieX
bb756f1a530fca21f16cd099085eb6f28bd4e577,https://github.com/nooikko/emily/commit/bb756f1a530fca21f16cd099085eb6f28bd4e577,nooikko/emily,
0534db6c6c0e7c86e6833a042f6b64579f2ef5c2,https://github.com/unfoldingWord/bt-servant-engine/commit/0534db6c6c0e7c86e6833a042f6b64579f2ef5c2,unfoldingWord/bt-servant-engine,web-flow
