BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
MACHHIWARA,Cereals,2013,8,1,"Paddy Dhan",LUDHIANA,nan,nan,AGRICULTURE,PUNJAB,"HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.909,75.8516
ABOHAR,Cereals,2013,8,15,"Paddy Dhan",FEROZPUR,nan,nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN guar ","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.4426,74.0656
FAZILKA,Cereals,2013,8,23,"Paddy Dhan",FEROZPUR,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN  guar ","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.4426,74.0656
FAZILKA,Cereals,2013,9,6,"Paddy Dhan",FEROZPUR,"Plant Protection",nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.4426,74.0656
"GHALL KHURD",Cereals,2013,9,7,"Paddy Dhan",FEROZPUR,"Plant Protection",nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN  guar ","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.4426,74.0656
FIROZPUR,Cereals,2013,9,18,"Paddy Dhan",FEROZPUR,nan,nan,AGRICULTURE,PUNJAB,"PROBLEM OF BACTERIAL BLIGHT IN PADDY","HAVNT ANY CHEMICAL SOLUTION FOR BLB IN PADDY",30.4426,74.0656
FAZILKA,Cereals,2013,10,2,"Paddy Dhan",FEROZPUR,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"regarding bacterial blight in rice","spray coramycin 20 gm in 150 liter of wateracre",30.4426,74.0656
GURDASPUR,Cereals,2013,8,30,"Paddy Dhan",GURDASPUR,"Plant Protection",nan,AGRICULTURE,PUNJAB,"INFORMATION REGARDING CONTROL OF BACTERIAL BLIGHT IN COTTON ","SPRAY BLITOX 50 WP 500 GMSYREPTOCYCLINE 3 GM IN 100LITRES OF WATERACRE",31.9037,75.2276
DINANAGAR,Cereals,2013,9,3,"Paddy Dhan",GURDASPUR,"Plant Protection",nan,AGRICULTURE,PUNJAB,"INFORMATION REGARDING CONTROL OF BACTERIAL BLIGHT IN COTTON ","SPRAY BLITOX 50 WP 500 GMSYREPTOCYCLINE 3 GM IN 100LITRES OF WATERACRE",31.9037,75.2276
BATALA,Cereals,2013,9,21,"Paddy Dhan",GURDASPUR,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"how to control bacterial blight in paddy crop ","spray to tilt  200 ml in 200 liter of water  acre ",31.9037,75.2276
